top - 13:19:43 up 18 days, 18:47,  1 user,  load average: 0.00, 0.00, 0.00
Tasks: 103 total,   2 running, 101 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.4%us,  0.2%sy,  0.0%ni, 98.4%id,  0.9%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    248776k total,   242836k used,     5940k free,     5396k buffers
Swap:  1048572k total,   147300k used,   901272k free,    15940k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                   
 4479 root      20   0  4484  288  232 R  2.0  0.1   3875:43 diced                                                                     
    1 root      20   0  2900  132  132 S  0.0  0.1   0:01.94 init                                                                      
    2 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kthreadd                                                                  
    3 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/0                                                               
    4 root      20   0     0    0    0 S  0.0  0.0   9:56.70 ksoftirqd/0                                                               
    5 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/0                                                                 
    6 root      RT   0     0    0    0 S  0.0  0.0   0:19.80 watchdog/0                                                                
    7 root      20   0     0    0    0 S  0.0  0.0   8:54.34 events/0                                                                  
    8 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/0                                                                  
    9 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/0                                                             
   10 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                           
   11 root      20   0     0    0    0 S  0.0  0.0   0:00.00 cgroup                                                                    
   12 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khelper                                                                   
   13 root      20   0     0    0    0 S  0.0  0.0   0:00.00 netns                                                                     
   14 root      20   0     0    0    0 S  0.0  0.0   0:00.00 async/mgr                                                                 
   15 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pm                                                                        
   16 root      20   0     0    0    0 S  0.0  0.0   0:08.70 sync_supers                                                               
   17 root      20   0     0    0    0 S  0.0  0.0   0:05.23 bdi-default                                                               
   18 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/0                                                             
   19 root      20   0     0    0    0 S  0.0  0.0   2:05.77 kblockd/0                                                                 
   20 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpid                                                                    
   21 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify                                                              
   22 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_hotplug                                                             
   23 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_aux                                                                   
   24 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/0                                                                 
   25 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd                                                             
